name,type,wzd_offset,mgc_offset,init,wzd_file,mgc_file,xrefs
COL_NEWG_NA,uint8_t,-,2F31,,-,MoM\src\NewGame.c:859,N/A
COL_NEWG_NA2,uint8_t,-,2F9A,,-,MoM\src\NewGame.c:900,N/A
COL_NEWG_RaceTitles,uint8_t,-,2F28,,-,MoM\src\NewGame.c:851,N/A
COL_NEWG_RacesShadow,uint8_t,-,2F00,,-,MoM\src\NewGame.c:836,N/A
COL_NEWG_RacesShdw2,uint8_t,-,2F33,,-,MoM\src\NewGame.c:861,N/A
COL_NewG_Ret_Known,uint8_t,-,2F9C,,-,MoM\src\NewGame.c:902,N/A
COL_NewG_Ret_Shdw,uint8_t,-,2F9E,,-,MoM\src\NewGame.c:904,N/A
COL_Settings,uint8_t,60FC,-,,MoM\src\Settings.c:82,-,N/A
COL_Warning1,uint8_t,6F8C,-,,MoX\src\GENDRAW.c:63,-,N/A
COL_Warning2,uint8_t,6F91,-,,MoX\src\GENDRAW.c:67,-,N/A
CONTX_1stLoadTs,int16_t *,9D2A,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:2621,-,N/A
CONTX_FirstTiles,int16_t *,9EA0,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.h:4049,-,N/A
CONTX_LoadTChain,int16_t *,9D32,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:2623,-,N/A
CONTX_LoadTileXs,int8_t *,9D42,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:2627,-,N/A
CONTX_LoadTileYs,int8_t *,9D3A,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:2625,-,N/A
CONTX_TileChain,int16_t *,9EA8,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.h:4051,-,N/A
CONTX_TileXs,int8_t *,9EB8,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:2672,-,N/A
CONTX_TileYs,int8_t *,9EB0,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:2670,-,N/A
CRP_AI_Cont_Nme_Str,int16_t *,90FE,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.h:2888,-,N/A
CRP_AI_OVL_SpellCount,int16_t,911E,-,,MoX\src\MOM_DAT.c:1054,-,N/A
CRP_AI_OVL_SpellList,SAMB_ptr,911C,-,,MoX\src\MOM_DAT.c:1051,-,N/A
CRP_AI_SpellTargetError,char,70F8,-,,MoM\src\AISPELL.c:39,-,N/A
CRP_AI_Turn_Var,int16_t,6F60,-,0,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoM\src\AIDUDES.c:39,-,N/A
CRP_EVNT_MercUnitType,int16_t,C9EC,-,,MoM\src\HIRE.c:140,-,N/A
CRP_EVNT_Var_1,int16_t,C2EA,-,,MoM\src\EVENTS.c:191,-,N/A
CRP_EVNT_Var_2,int16_t,C2E0,-,,MoM\src\EVENTS.c:172,-,N/A
CRP_OVL_Obstacle_Var1,int16_t,C044,-,,MoM\src\MainScr.c:245,-,N/A
CTY_Garrison_Units,int16_t,C2AC,-,,MoM\src\Outpost.c:73,-,N/A
DBG_Alt_A_State,int16_t,2E10,-,ST_FALSE,MoM\src\MainScr.c:80,-,N/A
DBG_ORIG_TBL_MoveMaps_EMS,SAMB_ptr,9CAC,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:62,-,N/A
DBG_ORIG_TBL_Premade_Items,SAMB_ptr,913A,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:45,-,N/A
DBG_ORIG_TBL_Scouting,uint8_t *,9CB0,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:64,-,N/A
DBG_ORIG_TBL_Terr_Specials,SAMB_ptr,9CB8,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.h:71,-,N/A
DBG_ORIG_UU_TBL_1,SAMB_ptr,9CD8,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:84,-,N/A
DBG_ORIG_UU_TBL_2,SAMB_ptr,9CD4,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:82,-,N/A
DBG_ORIG__events_table,int16_t *,9998,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:59,-,N/A
DBG_ORIG__landmasses,uint8_t *,9CD0,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:80,-,N/A
DBG_ORIG__map_square_flags,uint8_t *,9CB4,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:66,-,N/A
DBG_ORIG__map_square_terrain_specials,SAMB_ptr,9CB8,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:68,-,N/A
DBG_ORIG__world_maps,uint8_t *,9CDC,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:86,-,N/A
DBG_ORIG_p0_heroes,SAMB_ptr,9232,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:47,-,N/A
DBG_ORIG_p1_heroes,SAMB_ptr,9236,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:49,-,N/A
DBG_ORIG_p2_heroes,SAMB_ptr,923A,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:51,-,N/A
DBG_ORIG_p3_heroes,SAMB_ptr,923E,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:53,-,N/A
DBG_ORIG_p4_heroes,SAMB_ptr,9242,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:55,-,N/A
DBG_ORIG_p5_heroes,SAMB_ptr,9246,-,,out\build\MSVC-release\_CPack_Packages\win64-Source\ZIP\ReMoM-0.0.1-Source\STU\src\STU_DBG.c:57,-,N/A
DBG_ShowTileInfo,int16_t,7004,-,ST_FALSE,MoM\src\MainScr_Maps.c:127,-,N/A
DEFR_FloatingIsland,int16_t,D380,-,,MoM\src\Combat.c:1443,-,N/A
EMM_Open_Handles,int16_t,762A,-,0,MoX\src\EMS\EMS.c:57,-,N/A
EMM_Pages_Reserved,int16_t,7628,-,40,MoX\src\EMS\EMS.c:54,-,N/A
EMS_PFBA,SAMB_ptr,760C,-,0,MoX\src\EMS\EMS.c:42,-,N/A
EVNT_DestroyedBldngs,int16_t,C2DC,-,,MoM\src\EVENTS.c:165,-,N/A
EVNT_Enabled,int16_t,0154,-,ST_TRUE,MoM\src\EVENTS.c:47,-,N/A
EVNT_LostPopulation,int16_t,C2D8,-,,MoM\src\EVENTS.c:157,-,N/A
EVNT_LostUnitCount,int16_t,C2DA,-,,MoM\src\EVENTS.c:162,-,N/A
EVNT_MercUnitCount,int16_t,C9EA,-,,MoM\src\HIRE.c:137,-,N/A
EVNT_MsgDataValue,int16_t,C2E2,-,,MoM\src\EVENTS.c:175,-,N/A
EmmHndlNm_CONTXXX,char,7066,-,,MoM\src\ALLOC.c:23,-,N/A
EmmHndlNm_FIGUREX,char,7056,-,,MoM\src\ALLOC.c:17,-,N/A
EmmHndlNm_TILEXXX,char,705E,-,,MoM\src\ALLOC.c:21,-,N/A
EmmHndl_CONTXXX,SAMB_ptr,9EC0,-,,MoX\src\MOM_DAT.c:2813,-,N/A
EmmHndl_FIGUREX,SAMB_ptr,CF9A,-,,MoM\src\Combat.c:1135,-,N/A
EmmHndl_TILEXXX,SAMB_ptr,CF9A,-,,MoM\src\Combat.c:1132,-,N/A
GAME_AssetCost,int16_t,C9EE,-,,MoM\src\HIRE.c:143,-,N/A
GAME_Conquered_Wiz,int16_t,C5C4,-,,MoM\src\CONQUEST.c:163,-,N/A
GAME_Conquering_Wiz,int16_t,C5C2,-,,MoM\src\CONQUEST.c:161,-,N/A
GAME_HeroHireType,int16_t,C9E2,-,,MoM\src\HIRE.c:125,-,N/A
GAME_LimboFall_Stage,SAMB_ptr,C5BC,-,,MoM\src\CONQUEST.c:155,-,N/A
GAME_MP_SpellVar_1,int16_t,CA12,-,,MoX\src\MOM_DAT.h:4661,-,N/A
GAME_MP_SpellVar_2,SAMB_ptr,CA28,-,,MoX\src\MOM_DAT.h:4698,-,N/A
GAME_RazeCity,int16_t,C974,-,,MoM\src\Combat.c:1115,-,N/A
GTL_filename,char,E908,-,,MoX\src\SOUND.c:197,-,N/A
GUI_EditAnimStage,int16_t,8282,-,,MoX\src\Fields.c:305,-,N/A
GUI_EditCursor,char,82A4,-,,MoX\src\Fields.c:345,-,N/A
GUI_EditCursorOn,int16_t,8286,-,,MoX\src\Fields.c:309,-,N/A
GUI_EditTimeOutType,int16_t,8286,-,0,MoX\src\Fields.c:167,-,N/A
GUI_Edit_Position,int16_t,8282,-,0,MoX\src\Fields.c:164,-,N/A
GUI_InHeroNaming,int16_t,C9E0,-,,MoM\src\HIRE.h:21,-,N/A
GUI_Multipurpose_Int,int16_t,C926,-,,MoM\src\Spellbook.h:402,-,N/A
GUI_NearMsgString,char,C7FC,-,,MoX\src\MOM_DAT.h:4607,-,N/A
GUI_String_1,char *,BFBC,-,,MoX\src\MOM_DAT.c:3050,-,N/A
GUI_String_2,char *,BFB8,-,,MoX\src\MOM_DAT.c:3045,-,N/A
G_CMB_MWallAnimSkip,int16_t,7070,-,0,MoM\src\Combat.c:525,-,N/A
G_CMB_MWallAnimStage,int16_t,7072,-,0,MoM\src\Combat.c:528,-,N/A
G_CTY_SomeVar_0,int16_t,C2A6,-,,MoM\src\Outpost.c:66,-,N/A
G_DIPL_ComposedMessage,char *,C3E2,-,,MoM\src\DIPLOMAC.c:500,-,N/A
G_Pushout_CX_IDs,int16_t,D430,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoM\src\AIMOVE.c:79,-,N/A
G_Pushout_Lowest_Value,int16_t,D3F4,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoM\src\AIMOVE.c:63,-,N/A
G_Pushout_UL_Indices,int16_t,D454,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoM\src\AIMOVE.c:83,-,N/A
G_Pushout_Values,int16_t,D40C,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoM\src\AIMOVE.c:75,-,N/A
G_Seafaring_CX_IDs,int16_t,D41E,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoM\src\AIMOVE.c:77,-,N/A
G_Seafaring_Lowest_Value,int16_t,D3F2,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoM\src\AIMOVE.c:61,-,N/A
G_Seafaring_UL_Indices,int16_t,D442,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoM\src\AIMOVE.c:81,-,N/A
G_Seafaring_Unit_Indices,int16_t,D466,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoM\src\AIMOVE.c:85,-,N/A
G_Seafaring_Values,int16_t,D3FA,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoM\src\AIMOVE.c:73,-,N/A
G_Some_DIPL_Alloc_3,byte_ptr,C31E,-,,MoM\src\DIPLOMAC.c:422,-,N/A
G_Some_DIPL_Allocs_6,byte_ptr,C310,-,,MoM\src\DIPLOMAC.c:418,-,N/A
GfxBuf_2400B,SAMB_ptr,998C,-,,MoX\src\MOM_DAT.h:3880,-,N/A
GrowOutFrames,int16_t,9992,-,,MoX\src\MOX_T4.c:148,-,N/A
GrowOutLeft,int16_t,9996,-,,MoX\src\MOX_T4.c:152,-,N/A
GrowOutTop,int16_t,9994,-,,MoX\src\MOX_T4.c:150,-,N/A
HELP_lbx_file__ovr159,char,7122,-,,MoX\src\TEXTBOX.c:36,-,N/A
HLP_ExpandOrigBottom,int16_t,CA90,-,,MoX\src\GENDRAW.c:181,-,N/A
HLP_ExpandOrigLeft,int16_t,CA96,-,,MoX\src\GENDRAW.c:187,-,N/A
HLP_ExpandOrigRight,int16_t,CA92,-,,MoX\src\GENDRAW.c:183,-,N/A
HLP_ExpandOrigTop,int16_t,CA94,-,,MoX\src\GENDRAW.c:185,-,N/A
HLP_ExpandTgtBottom,int16_t,CA98,-,,MoX\src\GENDRAW.c:189,-,N/A
HLP_ExpandTgtLeft,int16_t,CA9E,-,,MoX\src\GENDRAW.c:195,-,N/A
HLP_ExpandTgtRight,int16_t,CA9A,-,,MoX\src\GENDRAW.c:191,-,N/A
HLP_ExpandTgtTop,int16_t,CA9C,-,,MoX\src\GENDRAW.c:193,-,N/A
IDK_Alchemy_Pict,SAMB_ptr,9492,-,,MoX\src\MOM_DAT.c:1648,-,N/A
IDK_CityScr_15x50_tmpbuf,byte_ptr,BFBE,-,,MoX\src\MOM_DAT.c:3053,-,N/A
IDK_DIPLO_NIU,uint8_t,C320,-,,MoM\src\DIPLOMAC.c:424,-,N/A
IDK_Diplo_msg,char *,4C48,-,,MoM\src\DIPLOMAC.c:272,-,N/A
IDK_MONSTER_seg,SAMB_ptr,CA38,-,,MoM\src\Spells137.c:169,-,N/A
IDK_armylist_row_count,int16_t,C0C0,-,,MoX\src\MOM_DAT.c:3215,-,N/A
IDK_armylist_row_fields,byte_ptr,C0C2,-,,MoX\src\MOM_DAT.c:3218,-,N/A
IDK_autosave,int16_t,CA74,-,,MoM\src\NEXTTURN.c:131,-,N/A
IDK_chancellor_screen_incr_mod_7,int16_t,C9D2,-,0,MoM\src\REPORT.c:132,-,N/A
IDK_wizard_id_thing_seg,SAMB_ptr,CA54,-,,MoM\src\SPLMASTR.c:82,-,N/A
IMG_CMB_Blood,SAMB_ptr,CFBE,-,,MoM\src\Combat.c:1159,-,N/A
IMG_CMB_Cave,SAMB_ptr,D116,-,,MoM\src\Combat.c:1248,-,N/A
IMG_CMB_ChaosOcn,SAMB_ptr,D056,-,,MoM\src\Combat.c:1194,-,N/A
IMG_CMB_Cloud,SAMB_ptr,D05E,-,,MoM\src\Combat.c:1198,-,N/A
IMG_CMB_Curses,SAMB_ptr,CFC8,-,,MoM\src\Combat.c:1164,-,N/A
IMG_CMB_DarkWall,SAMB_ptr,D088,-,,MoM\src\Combat.c:1221,-,N/A
IMG_CMB_DirtTile,SAMB_ptr,D0C0,-,,MoM\src\Combat.c:1232,-,N/A
IMG_CMB_Dungeon,SAMB_ptr,D112,-,,MoM\src\Combat.c:1244,-,N/A
IMG_CMB_FX_Figure,SAMB_ptr,C7B2,-,,MoM\src\Combat.c:1009,-,N/A
IMG_CMB_FireWall,SAMB_ptr,D088,-,,MoM\src\Combat.c:1223,-,N/A
IMG_CMB_FlotIsle,SAMB_ptr,D068,-,,MoM\src\Combat.c:1203,-,N/A
IMG_CMB_Fort,SAMB_ptr,D10C,-,,MoM\src\Combat.c:1238,-,N/A
IMG_CMB_Fortress,SAMB_ptr,D11A,-,,MoM\src\Combat.c:1252,-,N/A
IMG_CMB_Mud,SAMB_ptr,D06E,-,,MoM\src\Combat.c:1207,-,N/A
IMG_CMB_NatNode,SAMB_ptr,D074,-,,MoM\src\Combat.c:1214,-,N/A
IMG_CMB_OceanTile,SAMB_ptr,D01E,-,,MoM\src\Combat.c:1190,-,N/A
IMG_CMB_Outpost,SAMB_ptr,D118,-,,MoM\src\Combat.c:1250,-,N/A
IMG_CMB_RiverTile,SAMB_ptr,CFEE,-,,MoM\src\Combat.c:1178,-,N/A
IMG_CMB_RivrNULLs,SAMB_ptr,CFEE,-,,MoM\src\Combat.c:1181,-,N/A
IMG_CMB_RoadGrid,SAMB_ptr,D10A,-,,MoM\src\Combat.c:1236,-,N/A
IMG_CMB_RoadTiles,SAMB_ptr,D006,-,,MoM\src\Combat.c:1185,-,N/A
IMG_CMB_Rocks,SAMB_ptr,CFCA,-,,MoM\src\Combat.c:1170,-,N/A
IMG_CMB_Ruins,SAMB_ptr,D10E,-,,MoM\src\Combat.c:1240,-,N/A
IMG_CMB_ScanIcons,SAMB_ptr,924C,-,,MoX\src\MOM_DAT.c:1210,-,N/A
IMG_CMB_SorcNode,SAMB_ptr,D070,-,,MoM\src\Combat.c:1210,-,N/A
IMG_CMB_StoneWalls,SAMB_ptr,D0A4,-,,MoM\src\Combat.c:1227,-,N/A
IMG_CMB_Temple,SAMB_ptr,D110,-,,MoM\src\Combat.c:1242,-,N/A
IMG_CMB_Tower,SAMB_ptr,D114,-,,MoM\src\Combat.c:1246,-,N/A
IMG_CMB_Trees,SAMB_ptr,CFE4,-,,MoM\src\Combat.c:1175,-,N/A
IMG_CMB_Volcano,SAMB_ptr,D076,-,,MoM\src\Combat.c:1217,-,N/A
IMG_CTY_LeftBldTab,SAMB_ptr,949C,-,,MoX\src\MOM_DAT.c:1686,-,N/A
IMG_CTY_RightBldTab,SAMB_ptr,949A,-,,MoX\src\MOM_DAT.c:1682,-,N/A
IMG_GAME_GrowZap,SAMB_ptr,C5CC,-,,MoM\src\CONQUEST.c:172,-,N/A
IMG_GAME_LimboFall,SAMB_ptr,C5BA,-,,MoM\src\CONQUEST.c:151,-,N/A
